generation_time,project,bug_id,test_id,bug_detection
30,Chart,1,0,no
30,Chart,1,1,no
30,Chart,1,2,no
30,Chart,1,3,no
30,Chart,1,4,no
30,Chart,2,0,no
30,Chart,2,1,no
30,Chart,2,2,no
30,Chart,2,3,no
30,Chart,2,4,no
30,Chart,3,0,no
30,Chart,3,1,no
30,Chart,3,2,no
30,Chart,3,3,no
30,Chart,3,4,no
30,Chart,4,0,no
30,Chart,4,1,no
30,Chart,4,2,no
30,Chart,4,3,no
30,Chart,4,4,yes
30,Chart,5,0,yes
30,Chart,5,1,yes
30,Chart,5,2,yes
30,Chart,5,3,yes
30,Chart,5,4,yes
30,Chart,6,0,no
30,Chart,6,1,no
30,Chart,6,2,no
30,Chart,6,3,no
30,Chart,6,4,no
30,Chart,7,0,no
30,Chart,7,1,no
30,Chart,7,2,no
30,Chart,7,3,no
30,Chart,7,4,no
30,Chart,8,0,no
30,Chart,8,1,no
30,Chart,8,2,no
30,Chart,8,3,yes
30,Chart,8,4,yes
30,Chart,9,0,no
30,Chart,9,1,no
30,Chart,9,2,no
30,Chart,9,3,no
30,Chart,9,4,no
30,Chart,10,0,yes
30,Chart,10,1,no
30,Chart,10,2,no
30,Chart,10,3,no
30,Chart,10,4,yes
30,Chart,11,0,yes
30,Chart,11,1,yes
30,Chart,11,2,yes
30,Chart,11,3,yes
30,Chart,11,4,yes
30,Chart,12,0,no
30,Chart,12,1,no
30,Chart,12,2,no
30,Chart,12,3,no
30,Chart,12,4,no
30,Chart,13,0,no
30,Chart,13,1,no
30,Chart,13,2,no
30,Chart,13,3,no
30,Chart,13,4,no
30,Chart,14,0,yes
30,Chart,14,1,yes
30,Chart,14,2,yes
30,Chart,14,3,yes
30,Chart,14,4,yes
30,Chart,15,0,yes
30,Chart,15,1,yes
30,Chart,15,2,yes
30,Chart,15,3,yes
30,Chart,15,4,yes
30,Chart,16,0,yes
30,Chart,16,1,yes
30,Chart,16,2,yes
30,Chart,16,3,yes
30,Chart,16,4,yes
30,Chart,17,0,yes
30,Chart,17,1,yes
30,Chart,17,2,yes
30,Chart,17,3,yes
30,Chart,17,4,yes
30,Chart,18,0,yes
30,Chart,18,1,yes
30,Chart,18,2,yes
30,Chart,18,3,yes
30,Chart,18,4,yes
30,Chart,19,0,yes
30,Chart,19,1,yes
30,Chart,19,2,no
30,Chart,19,3,yes
30,Chart,19,4,yes
30,Chart,20,0,no
30,Chart,20,1,no
30,Chart,20,2,no
30,Chart,20,3,no
30,Chart,20,4,no
30,Chart,21,0,no
30,Chart,21,1,no
30,Chart,21,2,no
30,Chart,21,3,no
30,Chart,21,4,yes
30,Chart,22,0,yes
30,Chart,22,1,yes
30,Chart,22,2,yes
30,Chart,22,3,yes
30,Chart,22,4,yes
30,Chart,23,0,no
30,Chart,23,1,yes
30,Chart,23,2,yes
30,Chart,23,3,yes
30,Chart,23,4,yes
30,Chart,24,0,yes
30,Chart,24,1,yes
30,Chart,24,2,yes
30,Chart,24,3,yes
30,Chart,24,4,no
30,Chart,25,0,no
30,Chart,25,1,no
30,Chart,25,2,no
30,Chart,25,3,no
30,Chart,25,4,no
30,Chart,26,0,no
30,Chart,26,1,no
30,Chart,26,2,no
30,Chart,26,3,no
30,Chart,26,4,no
30,Cli,1,0,no
30,Cli,1,1,no
30,Cli,1,2,no
30,Cli,1,3,no
30,Cli,1,4,no
30,Cli,2,0,no
30,Cli,2,1,no
30,Cli,2,2,yes
30,Cli,2,3,no
30,Cli,2,4,no
30,Cli,3,0,no
30,Cli,3,1,no
30,Cli,3,2,no
30,Cli,3,3,no
30,Cli,3,4,no
30,Cli,4,0,no
30,Cli,4,1,no
30,Cli,4,2,no
30,Cli,4,3,no
30,Cli,4,4,no
30,Cli,5,0,yes
30,Cli,5,1,yes
30,Cli,5,2,yes
30,Cli,5,3,yes
30,Cli,5,4,yes
30,Cli,7,0,no
30,Cli,7,1,no
30,Cli,7,2,no
30,Cli,7,3,no
30,Cli,7,4,no
30,Cli,8,0,yes
30,Cli,8,1,yes
30,Cli,8,2,no
30,Cli,8,3,yes
30,Cli,8,4,yes
30,Cli,9,0,no
30,Cli,9,1,no
30,Cli,9,2,no
30,Cli,9,3,no
30,Cli,9,4,no
30,Cli,10,0,no
30,Cli,10,1,no
30,Cli,10,2,no
30,Cli,10,3,no
30,Cli,10,4,no
30,Cli,11,0,no
30,Cli,11,1,no
30,Cli,11,2,no
30,Cli,11,3,no
30,Cli,11,4,no
30,Cli,12,0,no
30,Cli,12,1,no
30,Cli,12,2,no
30,Cli,12,3,no
30,Cli,12,4,no
30,Cli,13,0,yes
30,Cli,13,1,yes
30,Cli,13,2,yes
30,Cli,13,3,yes
30,Cli,13,4,yes
30,Cli,14,0,no
30,Cli,14,1,no
30,Cli,14,2,no
30,Cli,14,3,no
30,Cli,14,4,no
30,Cli,15,0,yes
30,Cli,15,1,yes
30,Cli,15,2,yes
30,Cli,15,3,yes
30,Cli,15,4,yes
30,Cli,16,0,yes
30,Cli,16,1,yes
30,Cli,16,2,yes
30,Cli,16,3,yes
30,Cli,16,4,yes
30,Cli,17,0,yes
30,Cli,17,1,yes
30,Cli,17,2,yes
30,Cli,17,3,yes
30,Cli,17,4,no
30,Cli,18,0,yes
30,Cli,18,1,yes
30,Cli,18,2,yes
30,Cli,18,3,yes
30,Cli,18,4,yes
30,Cli,19,0,no
30,Cli,19,1,no
30,Cli,19,2,no
30,Cli,19,3,no
30,Cli,19,4,no
30,Cli,20,0,yes
30,Cli,20,1,no
30,Cli,20,2,no
30,Cli,20,3,no
30,Cli,20,4,yes
30,Cli,21,0,no
30,Cli,21,1,no
30,Cli,21,2,no
30,Cli,21,3,no
30,Cli,21,4,yes
30,Cli,22,0,yes
30,Cli,22,1,yes
30,Cli,22,2,yes
30,Cli,22,3,yes
30,Cli,22,4,yes
30,Cli,23,0,yes
30,Cli,23,1,yes
30,Cli,23,2,yes
30,Cli,23,3,yes
30,Cli,23,4,yes
30,Cli,24,0,yes
30,Cli,24,1,yes
30,Cli,24,2,yes
30,Cli,24,3,yes
30,Cli,24,4,yes
30,Cli,25,0,yes
30,Cli,25,1,yes
30,Cli,25,2,yes
30,Cli,25,3,yes
30,Cli,25,4,yes
30,Cli,26,0,no
30,Cli,26,1,no
30,Cli,26,2,no
30,Cli,26,3,no
30,Cli,26,4,no
30,Cli,27,0,no
30,Cli,27,1,no
30,Cli,27,2,no
30,Cli,27,3,no
30,Cli,27,4,no
30,Cli,28,0,no
30,Cli,28,1,no
30,Cli,28,2,no
30,Cli,28,3,no
30,Cli,28,4,no
30,Cli,29,0,yes
30,Cli,29,1,yes
30,Cli,29,2,yes
30,Cli,29,3,yes
30,Cli,29,4,yes
30,Cli,30,0,no
30,Cli,30,1,no
30,Cli,30,2,no
30,Cli,30,3,no
30,Cli,30,4,no
30,Cli,31,0,yes
30,Cli,31,1,yes
30,Cli,31,2,yes
30,Cli,31,3,yes
30,Cli,31,4,yes
30,Cli,32,0,yes
30,Cli,32,1,yes
30,Cli,32,2,yes
30,Cli,32,3,yes
30,Cli,32,4,yes
30,Cli,33,0,no
30,Cli,33,1,no
30,Cli,33,2,no
30,Cli,33,3,no
30,Cli,33,4,no
30,Cli,34,0,yes
30,Cli,34,1,yes
30,Cli,34,2,yes
30,Cli,34,3,yes
30,Cli,34,4,yes
30,Cli,35,0,no
30,Cli,35,1,no
30,Cli,35,2,no
30,Cli,35,3,no
30,Cli,35,4,no
30,Cli,36,0,no
30,Cli,36,1,no
30,Cli,36,2,no
30,Cli,36,3,no
30,Cli,36,4,yes
30,Cli,37,0,no
30,Cli,37,1,no
30,Cli,37,2,no
30,Cli,37,3,no
30,Cli,37,4,no
30,Cli,38,0,no
30,Cli,38,1,no
30,Cli,38,2,no
30,Cli,38,3,no
30,Cli,38,4,no
30,Cli,39,0,yes
30,Cli,39,1,yes
30,Cli,39,2,yes
30,Cli,39,3,yes
30,Cli,39,4,yes
30,Cli,40,0,yes
30,Cli,40,1,yes
30,Cli,40,2,yes
30,Cli,40,3,yes
30,Cli,40,4,yes
30,Closure,1,0,no
30,Closure,1,1,no
30,Closure,1,2,no
30,Closure,1,3,no
30,Closure,1,4,no
30,Closure,2,0,no
30,Closure,2,1,no
30,Closure,2,2,no
30,Closure,2,3,no
30,Closure,2,4,no
30,Closure,3,0,no
30,Closure,3,1,no
30,Closure,3,2,no
30,Closure,3,3,no
30,Closure,3,4,no
30,Closure,4,0,no
30,Closure,4,1,no
30,Closure,4,2,no
30,Closure,4,3,no
30,Closure,4,4,no
30,Closure,5,0,no
30,Closure,5,1,no
30,Closure,5,2,no
30,Closure,5,3,no
30,Closure,5,4,no
30,Closure,6,0,no
30,Closure,6,1,no
30,Closure,6,2,no
30,Closure,6,3,no
30,Closure,6,4,no
30,Closure,7,0,yes
30,Closure,7,1,yes
30,Closure,7,2,no
30,Closure,7,3,no
30,Closure,7,4,no
30,Closure,8,0,no
30,Closure,8,1,no
30,Closure,8,2,no
30,Closure,8,3,no
30,Closure,8,4,no
30,Closure,9,0,no
30,Closure,9,1,no
30,Closure,9,2,no
30,Closure,9,3,no
30,Closure,9,4,no
30,Closure,10,0,no
