initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Chart,1,0,60,13.64
RD,30,Chart,1,1,60,16.94
RD,30,Chart,1,2,60,12.81
RD,30,Chart,1,3,60,2.89
RD,30,Chart,1,4,60,17.36
RD,30,Chart,2,0,60,42.1
RD,30,Chart,2,1,60,40.81
RD,30,Chart,2,2,60,36.4
RD,30,Chart,2,3,60,40.62
RD,30,Chart,2,4,60,37.5
RD,30,Chart,3,0,60,46.39
RD,30,Chart,3,1,60,68.04
RD,30,Chart,3,2,60,44.85
RD,30,Chart,3,3,60,32.47
RD,30,Chart,3,4,60,41.24
RD,30,Chart,4,0,60,21.47
RD,30,Chart,4,1,60,7.99
RD,30,Chart,4,2,60,21.68
RD,30,Chart,4,3,60,31.54
RD,30,Chart,4,4,60,17.32
RD,30,Chart,5,0,60,58.75
RD,30,Chart,5,1,60,62.5
RD,30,Chart,5,2,60,60.0
RD,30,Chart,5,3,60,73.75
RD,30,Chart,5,4,60,71.25
RD,30,Chart,6,0,60,25.0
RD,30,Chart,6,1,60,25.0
RD,30,Chart,6,2,60,25.0
RD,30,Chart,6,3,60,25.0
RD,30,Chart,6,4,60,25.0
RD,30,Chart,7,0,60,64.81
RD,30,Chart,7,1,60,25.93
RD,30,Chart,7,2,60,66.67
RD,30,Chart,7,3,60,74.07
RD,30,Chart,7,4,60,75.93
RD,30,Chart,8,0,60,70.59
RD,30,Chart,8,1,60,73.53
RD,30,Chart,8,2,60,70.59
RD,30,Chart,8,3,60,66.18
RD,30,Chart,8,4,60,61.76
RD,30,Chart,9,0,60,42.75
RD,30,Chart,9,1,60,13.77
RD,30,Chart,9,2,60,48.55
RD,30,Chart,9,3,60,43.48
RD,30,Chart,9,4,60,40.58
RD,30,Chart,10,0,60,100
RD,30,Chart,10,1,60,100
RD,30,Chart,10,2,60,100
RD,30,Chart,10,3,60,100
RD,30,Chart,10,4,60,100
RD,30,Chart,11,0,60,21.55
RD,30,Chart,11,1,60,21.55
RD,30,Chart,11,2,60,24.14
RD,30,Chart,11,3,60,22.41
RD,30,Chart,11,4,60,21.55
RD,30,Chart,12,0,60,14.29
RD,30,Chart,12,1,60,11.9
RD,30,Chart,12,2,60,13.1
RD,30,Chart,12,3,60,13.1
RD,30,Chart,12,4,60,11.9
RD,30,Chart,13,0,60,44.17
RD,30,Chart,13,1,60,51.67
RD,30,Chart,13,2,60,45.83
RD,30,Chart,13,3,60,47.5
RD,30,Chart,13,4,60,51.67
RD,30,Chart,14,0,60,19.29
RD,30,Chart,14,1,60,19.85
RD,30,Chart,14,2,60,16.02
RD,30,Chart,14,3,60,32.03
RD,30,Chart,14,4,60,23.26
RD,30,Chart,15,0,60,10.58
RD,30,Chart,15,1,60,9.94
RD,30,Chart,15,2,60,9.29
RD,30,Chart,15,3,60,8.01
RD,30,Chart,15,4,60,9.94
RD,30,Chart,16,0,60,59.38
RD,30,Chart,16,1,60,57.03
RD,30,Chart,16,2,60,49.22
RD,30,Chart,16,3,60,67.97
RD,30,Chart,16,4,60,72.66
RD,30,Chart,17,0,60,26.81
RD,30,Chart,17,1,60,29.71
RD,30,Chart,17,2,60,47.1
RD,30,Chart,17,3,60,42.75
RD,30,Chart,17,4,60,34.06
RD,30,Chart,18,0,60,44.26
RD,30,Chart,18,1,60,47.54
RD,30,Chart,18,2,60,40.16
RD,30,Chart,18,3,60,43.44
RD,30,Chart,18,4,60,38.52
RD,30,Chart,19,0,60,33.16
RD,30,Chart,19,1,60,31.82
RD,30,Chart,19,2,60,34.68
RD,30,Chart,19,3,60,34.51
RD,30,Chart,19,4,60,31.82
RD,30,Chart,20,0,60,25.0
RD,30,Chart,20,1,60,25.0
RD,30,Chart,20,2,60,75.0
RD,30,Chart,20,3,60,75.0
RD,30,Chart,20,4,60,62.5
RD,30,Chart,21,0,60,15.0
RD,30,Chart,21,1,60,15.0
RD,30,Chart,21,2,60,3.33
RD,30,Chart,21,3,60,16.67
RD,30,Chart,21,4,60,15.0
RD,30,Chart,22,0,60,55.17
RD,30,Chart,22,1,60,48.28
RD,30,Chart,22,2,60,31.03
RD,30,Chart,22,3,60,24.14
RD,30,Chart,22,4,60,27.59
RD,30,Chart,23,0,60,15.22
RD,30,Chart,23,1,60,4.35
RD,30,Chart,23,2,60,2.17
RD,30,Chart,23,3,60,0.0
RD,30,Chart,23,4,60,15.22
RD,30,Chart,24,0,60,80.0
RD,30,Chart,24,1,60,90.0
RD,30,Chart,24,2,60,90.0
RD,30,Chart,24,3,60,90.0
RD,30,Chart,24,4,60,80.0
RD,30,Chart,25,1,60,0.0
RD,30,Chart,25,2,60,0.0
RD,30,Chart,25,4,60,3.66
RD,30,Chart,26,0,60,14.18
RD,30,Chart,26,1,60,25.37
