generation_time,project,bug_id,test_id,coverage
30,Chart,1,0,35.12
30,Chart,1,1,38.84
30,Chart,1,2,35.95
30,Chart,1,3,41.74
30,Chart,1,4,36.78
30,Chart,2,0,69.49
30,Chart,2,1,72.79
30,Chart,2,2,66.36
30,Chart,2,3,68.57
30,Chart,2,4,72.43
30,Chart,3,0,91.24
30,Chart,3,1,93.81
30,Chart,3,2,87.63
30,Chart,3,3,92.27
30,Chart,3,4,95.36
30,Chart,4,0,42.22
30,Chart,4,1,36.41
30,Chart,4,2,30.39
30,Chart,4,3,43.88
30,Chart,4,4,35.06
30,Chart,5,0,100.0
30,Chart,5,1,100.0
30,Chart,5,2,100.0
30,Chart,5,3,100.0
30,Chart,5,4,100.0
30,Chart,6,0,33.33
30,Chart,6,1,33.33
30,Chart,6,2,33.33
30,Chart,6,3,33.33
30,Chart,6,4,33.33
30,Chart,7,0,100.0
30,Chart,7,1,100.0
30,Chart,7,2,100.0
30,Chart,7,3,100.0
30,Chart,7,4,100.0
30,Chart,8,0,83.82
30,Chart,8,1,83.82
30,Chart,8,2,82.35
30,Chart,8,3,83.82
30,Chart,8,4,83.82
30,Chart,9,0,92.03
30,Chart,9,1,94.93
30,Chart,9,2,92.75
30,Chart,9,3,84.78
30,Chart,9,4,95.65
30,Chart,10,0,100
30,Chart,10,1,100
30,Chart,10,2,100
30,Chart,10,3,100
30,Chart,10,4,100
30,Chart,11,0,93.97
30,Chart,11,1,95.69
30,Chart,11,2,93.97
30,Chart,11,3,94.83
30,Chart,11,4,94.83
30,Chart,12,0,88.1
30,Chart,12,1,73.81
30,Chart,12,2,60.71
30,Chart,12,3,58.33
30,Chart,12,4,95.24
30,Chart,13,0,89.17
30,Chart,13,1,65.83
30,Chart,13,2,92.5
30,Chart,13,3,73.33
30,Chart,13,4,80.83
30,Chart,14,0,36.14
30,Chart,14,1,30.01
30,Chart,14,2,27.72
30,Chart,14,3,28.41
30,Chart,14,4,32.24
30,Chart,15,0,53.21
30,Chart,15,1,43.59
30,Chart,15,2,45.83
30,Chart,15,3,41.03
30,Chart,15,4,58.97
30,Chart,16,0,87.5
30,Chart,16,1,87.5
30,Chart,16,2,81.25
30,Chart,16,3,80.47
30,Chart,16,4,90.62
30,Chart,17,0,95.65
30,Chart,17,1,88.41
30,Chart,17,2,94.2
30,Chart,17,3,88.41
30,Chart,17,4,86.96
30,Chart,18,0,93.44
30,Chart,18,1,95.08
30,Chart,18,2,92.62
30,Chart,18,3,95.08
30,Chart,18,4,93.44
30,Chart,19,0,63.97
30,Chart,19,1,59.09
30,Chart,19,2,52.86
30,Chart,19,3,47.81
30,Chart,19,4,52.02
30,Chart,20,0,87.5
30,Chart,20,2,87.5
30,Chart,20,3,87.5
30,Chart,20,4,87.5
30,Chart,21,0,36.67
30,Chart,21,1,71.67
30,Chart,21,2,88.33
30,Chart,21,3,55.0
30,Chart,21,4,85.0
30,Chart,22,0,91.38
30,Chart,22,1,91.38
30,Chart,22,2,91.38
30,Chart,22,3,91.38
30,Chart,22,4,91.38
30,Chart,23,0,26.09
30,Chart,23,1,43.48
30,Chart,23,2,26.09
30,Chart,23,3,28.26
30,Chart,23,4,26.09
30,Chart,24,0,0.0
30,Chart,24,1,0.0
30,Chart,24,2,0.0
30,Chart,24,3,0.0
30,Chart,24,4,0.0
30,Chart,25,0,15.85
30,Chart,25,1,21.95
30,Chart,25,2,15.85
30,Chart,25,3,15.85
30,Chart,25,4,17.07
30,Chart,26,0,68.66
30,Chart,26,1,68.66
30,Chart,26,2,49.25
30,Chart,26,3,73.13
30,Chart,26,4,55.97
30,Cli,1,0,0.0
30,Cli,1,1,0.0
30,Cli,1,2,0.0
30,Cli,1,3,0.0
30,Cli,1,4,0.0
30,Cli,2,0,78.57
30,Cli,2,1,90.48
30,Cli,2,2,90.48
30,Cli,2,3,90.48
30,Cli,2,4,80.95
30,Cli,3,0,60.0
30,Cli,3,1,60.0
30,Cli,3,2,60.0
30,Cli,3,3,60.0
30,Cli,3,4,60.0
30,Cli,4,0,64.71
30,Cli,4,1,58.82
30,Cli,4,2,55.88
30,Cli,4,3,60.29
30,Cli,4,4,61.76
30,Cli,5,0,0.0
30,Cli,5,1,0.0
30,Cli,5,2,0.0
30,Cli,5,3,0.0
30,Cli,5,4,0.0
30,Cli,7,0,100.0
30,Cli,7,1,100.0
30,Cli,7,2,100.0
30,Cli,7,3,100.0
30,Cli,7,4,100.0
30,Cli,8,0,91.35
30,Cli,8,1,89.42
30,Cli,8,2,88.46
30,Cli,8,3,86.54
30,Cli,8,4,89.42
30,Cli,9,0,64.29
30,Cli,9,1,71.43
30,Cli,9,2,68.57
30,Cli,9,3,75.71
30,Cli,9,4,77.14
30,Cli,10,0,75.71
30,Cli,10,1,68.57
30,Cli,10,2,65.71
30,Cli,10,3,55.71
30,Cli,10,4,67.14
30,Cli,11,0,86.79
30,Cli,11,1,87.74
30,Cli,11,2,75.47
30,Cli,11,3,74.53
30,Cli,11,4,85.85
30,Cli,12,0,87.5
30,Cli,12,1,87.5
30,Cli,12,2,87.5
30,Cli,12,3,87.5
30,Cli,12,4,87.5
30,Cli,13,0,86.21
30,Cli,13,1,76.72
30,Cli,13,2,81.9
30,Cli,13,3,82.76
30,Cli,13,4,85.34
30,Cli,14,0,82.03
30,Cli,14,1,86.72
30,Cli,14,2,69.53
30,Cli,14,3,73.44
30,Cli,14,4,75.0
30,Cli,15,0,97.83
30,Cli,15,1,97.83
30,Cli,15,2,97.83
30,Cli,15,3,97.83
30,Cli,15,4,97.83
30,Cli,16,0,74.77
30,Cli,16,1,65.14
30,Cli,16,2,74.77
30,Cli,16,3,67.43
30,Cli,16,4,67.43
30,Cli,17,0,78.57
30,Cli,17,1,88.1
30,Cli,17,2,90.48
30,Cli,17,3,85.71
30,Cli,17,4,88.1
30,Cli,18,0,92.86
30,Cli,18,1,88.1
30,Cli,18,2,76.19
30,Cli,18,3,88.1
30,Cli,18,4,85.71
30,Cli,19,0,83.33
30,Cli,19,1,78.57
30,Cli,19,2,85.71
30,Cli,19,3,66.67
30,Cli,19,4,66.67
30,Cli,20,0,88.1
30,Cli,20,1,83.33
30,Cli,20,2,83.33
30,Cli,20,3,90.48
30,Cli,20,4,88.1
30,Cli,21,0,73.94
30,Cli,21,1,68.62
30,Cli,21,2,71.28
30,Cli,21,3,75.0
30,Cli,21,4,70.21
30,Cli,22,0,92.11
30,Cli,22,1,92.11
30,Cli,22,2,94.74
30,Cli,22,3,92.11
30,Cli,22,4,92.11
