generation_time,project,bug_id,test_id,coverage
30,Chart,1,0,19.01
30,Chart,1,1,21.9
30,Chart,1,2,16.12
30,Chart,1,3,2.07
30,Chart,1,4,21.49
30,Chart,2,0,40.81
30,Chart,2,1,41.36
30,Chart,2,2,34.38
30,Chart,2,3,41.54
30,Chart,2,4,42.28
30,Chart,3,0,41.75
30,Chart,3,1,64.43
30,Chart,3,2,44.33
30,Chart,3,3,30.93
30,Chart,3,4,39.69
30,Chart,4,0,25.31
30,Chart,4,1,7.99
30,Chart,4,2,24.48
30,Chart,4,3,24.38
30,Chart,4,4,21.78
30,Chart,5,0,76.25
30,Chart,5,1,81.25
30,Chart,5,2,72.5
30,Chart,5,3,81.25
30,Chart,5,4,76.25
30,Chart,6,0,25.0
30,Chart,6,1,25.0
30,Chart,6,2,25.0
30,Chart,6,3,25.0
30,Chart,6,4,25.0
30,Chart,7,0,64.81
30,Chart,7,1,25.93
30,Chart,7,2,59.26
30,Chart,7,3,70.37
30,Chart,7,4,72.22
30,Chart,8,0,64.71
30,Chart,8,1,63.24
30,Chart,8,2,52.94
30,Chart,8,3,58.82
30,Chart,8,4,58.82
30,Chart,9,0,36.96
30,Chart,9,1,9.42
30,Chart,9,2,45.65
30,Chart,9,3,38.41
30,Chart,9,4,31.88
30,Chart,10,0,100
30,Chart,10,1,100
30,Chart,10,2,100
30,Chart,10,3,100
30,Chart,10,4,100
30,Chart,11,0,33.62
30,Chart,11,1,33.62
30,Chart,11,2,33.62
30,Chart,11,3,33.62
30,Chart,11,4,33.62
30,Chart,12,0,17.86
30,Chart,12,1,19.05
30,Chart,12,2,21.43
30,Chart,12,3,19.05
30,Chart,12,4,10.71
30,Chart,13,0,54.17
30,Chart,13,1,55.83
30,Chart,13,2,45.83
30,Chart,13,3,53.33
30,Chart,13,4,52.5
30,Chart,14,0,21.59
30,Chart,14,1,22.91
30,Chart,14,2,18.59
30,Chart,14,3,34.12
30,Chart,14,4,21.73
30,Chart,15,0,23.72
30,Chart,15,1,8.01
30,Chart,15,2,22.12
30,Chart,15,3,6.73
30,Chart,15,4,8.01
30,Chart,16,0,60.94
30,Chart,16,1,66.41
30,Chart,16,2,60.94
30,Chart,16,3,66.41
30,Chart,16,4,72.66
30,Chart,17,0,41.3
30,Chart,17,1,26.81
30,Chart,17,2,48.55
30,Chart,17,3,32.61
30,Chart,17,4,32.61
30,Chart,18,0,67.21
30,Chart,18,1,62.3
30,Chart,18,2,63.11
30,Chart,18,3,58.2
30,Chart,18,4,50.82
30,Chart,19,0,39.73
30,Chart,19,1,37.37
30,Chart,19,2,33.33
30,Chart,19,3,39.06
30,Chart,19,4,30.13
30,Chart,20,0,62.5
30,Chart,20,1,62.5
30,Chart,20,2,62.5
30,Chart,20,3,62.5
30,Chart,20,4,62.5
30,Chart,21,0,16.67
30,Chart,21,1,15.0
30,Chart,21,2,16.67
30,Chart,21,3,18.33
30,Chart,21,4,16.67
30,Chart,22,0,70.69
30,Chart,22,1,39.66
30,Chart,22,2,77.59
30,Chart,22,3,70.69
30,Chart,22,4,67.24
30,Chart,23,0,15.22
30,Chart,23,1,4.35
30,Chart,23,2,2.17
30,Chart,23,3,0.0
30,Chart,23,4,15.22
30,Chart,24,0,80.0
30,Chart,24,1,90.0
30,Chart,24,2,90.0
30,Chart,24,3,90.0
30,Chart,24,4,90.0
30,Chart,25,1,0.0
30,Chart,25,2,0.0
30,Chart,25,4,3.66
30,Chart,26,0,11.94
30,Chart,26,1,5.22
30,Chart,26,2,14.93
30,Chart,26,3,5.22
30,Chart,26,4,32.09
30,Cli,1,0,42.86
30,Cli,1,1,57.14
30,Cli,1,2,42.86
30,Cli,1,3,42.86
30,Cli,1,4,42.86
30,Cli,2,0,40.48
30,Cli,2,1,28.57
30,Cli,2,2,30.95
30,Cli,2,3,38.1
30,Cli,2,4,40.48
30,Cli,3,0,70.0
30,Cli,3,1,55.0
30,Cli,3,2,65.0
30,Cli,3,3,65.0
30,Cli,3,4,70.0
30,Cli,4,0,16.18
30,Cli,4,1,26.47
30,Cli,4,2,26.47
30,Cli,4,3,26.47
30,Cli,4,4,26.47
30,Cli,5,0,50.0
30,Cli,5,1,50.0
30,Cli,5,2,50.0
30,Cli,5,3,50.0
30,Cli,5,4,50.0
30,Cli,7,0,40.74
30,Cli,7,1,51.85
30,Cli,7,2,48.15
30,Cli,7,3,51.85
30,Cli,7,4,48.15
30,Cli,8,0,41.35
30,Cli,8,1,41.35
30,Cli,8,2,40.38
30,Cli,8,3,41.35
30,Cli,8,4,41.35
30,Cli,9,0,27.14
30,Cli,9,1,27.14
30,Cli,9,2,28.57
30,Cli,9,3,27.14
30,Cli,9,4,27.14
30,Cli,10,0,32.86
30,Cli,10,1,25.71
30,Cli,10,2,25.71
30,Cli,10,3,25.71
30,Cli,10,4,28.57
30,Cli,11,0,57.55
30,Cli,11,1,58.49
30,Cli,11,2,42.45
30,Cli,11,3,43.4
30,Cli,11,4,45.28
30,Cli,12,0,37.5
30,Cli,12,1,37.5
30,Cli,12,2,37.5
