initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Chart,1,0,60,9.92
RD,30,Chart,1,1,60,16.12
RD,30,Chart,1,2,60,9.92
RD,30,Chart,1,3,60,0.41
RD,30,Chart,1,4,60,11.98
RD,30,Chart,2,0,60,38.87
RD,30,Chart,2,1,60,34.85
RD,30,Chart,2,2,60,33.39
RD,30,Chart,2,3,60,40.33
RD,30,Chart,2,4,60,39.78
RD,30,Chart,3,0,60,41.24
RD,30,Chart,3,1,60,50.52
RD,30,Chart,3,2,60,38.14
RD,30,Chart,3,3,60,36.08
RD,30,Chart,3,4,60,54.64
RD,30,Chart,4,0,60,16.56
RD,30,Chart,4,1,60,6.73
RD,30,Chart,4,2,60,27.64
RD,30,Chart,4,3,60,19.57
RD,30,Chart,4,4,60,13.77
RD,30,Chart,5,0,60,68.75
RD,30,Chart,5,1,60,63.75
RD,30,Chart,5,2,60,72.5
RD,30,Chart,5,3,60,80.0
RD,30,Chart,5,4,60,83.75
RD,30,Chart,6,0,60,37.5
RD,30,Chart,6,1,60,12.5
RD,30,Chart,6,2,60,43.75
RD,30,Chart,6,3,60,31.25
RD,30,Chart,6,4,60,25.0
RD,30,Chart,7,0,60,64.81
RD,30,Chart,7,1,60,40.74
RD,30,Chart,7,2,60,70.37
RD,30,Chart,7,3,60,68.52
RD,30,Chart,7,4,60,74.07
RD,30,Chart,8,0,60,61.76
RD,30,Chart,8,1,60,60.29
RD,30,Chart,8,2,60,70.59
RD,30,Chart,8,3,60,72.06
RD,30,Chart,8,4,60,66.18
RD,30,Chart,9,0,60,36.43
RD,30,Chart,9,1,60,2.14
RD,30,Chart,9,2,60,27.14
RD,30,Chart,9,3,60,34.29
RD,30,Chart,9,4,60,34.29
RD,30,Chart,10,0,60,100
RD,30,Chart,10,1,60,100
RD,30,Chart,10,2,60,100
RD,30,Chart,10,3,60,100
RD,30,Chart,10,4,60,100
RD,30,Chart,11,0,60,34.48
RD,30,Chart,11,1,60,34.48
RD,30,Chart,11,2,60,31.9
RD,30,Chart,11,3,60,34.48
RD,30,Chart,11,4,60,34.48
RD,30,Chart,12,0,60,8.33
RD,30,Chart,12,1,60,11.9
RD,30,Chart,12,2,60,11.9
RD,30,Chart,12,3,60,10.71
RD,30,Chart,12,4,60,8.33
RD,30,Chart,13,0,60,45.83
RD,30,Chart,13,1,60,46.67
