generation_time,project,bug_id,test_id,coverage
30,Chart,1,0,30.58
30,Chart,1,1,22.31
30,Chart,1,2,30.99
30,Chart,1,3,30.58
30,Chart,1,4,31.82
30,Chart,2,0,55.47
30,Chart,2,1,55.66
30,Chart,2,2,47.99
30,Chart,2,3,64.78
30,Chart,2,4,57.66
30,Chart,3,0,89.69
30,Chart,3,1,89.69
30,Chart,3,2,88.14
30,Chart,3,3,89.18
30,Chart,3,4,69.07
30,Chart,4,0,30.43
30,Chart,4,1,34.16
30,Chart,4,2,28.05
30,Chart,4,3,29.09
30,Chart,4,4,32.71
30,Chart,5,0,100.0
30,Chart,5,1,97.5
30,Chart,5,2,97.5
30,Chart,5,3,100.0
30,Chart,5,4,98.75
30,Chart,6,0,50.0
30,Chart,6,1,50.0
30,Chart,6,2,50.0
30,Chart,6,3,50.0
30,Chart,6,4,50.0
30,Chart,7,0,100.0
30,Chart,7,1,100.0
30,Chart,7,2,98.15
30,Chart,7,3,100.0
30,Chart,7,4,90.74
30,Chart,8,0,80.88
30,Chart,8,1,82.35
30,Chart,8,2,82.35
30,Chart,8,3,83.82
30,Chart,8,4,82.35
30,Chart,9,0,78.57
30,Chart,9,1,85.0
30,Chart,9,2,85.0
30,Chart,9,3,79.29
30,Chart,9,4,81.43
30,Chart,10,0,100
30,Chart,10,1,100
30,Chart,10,2,100
30,Chart,10,3,100
30,Chart,10,4,100
30,Chart,11,0,94.83
30,Chart,11,1,98.28
30,Chart,11,2,95.69
30,Chart,11,3,96.55
30,Chart,11,4,93.97
30,Chart,12,0,73.81
30,Chart,12,1,71.43
30,Chart,12,2,50.0
30,Chart,12,3,48.81
30,Chart,12,4,72.62
30,Chart,13,0,65.83
30,Chart,13,1,68.33
30,Chart,13,2,71.67
30,Chart,13,3,72.5
30,Chart,13,4,67.5
30,Chart,14,0,26.25
30,Chart,14,1,26.87
30,Chart,14,2,28.25
30,Chart,14,3,27.29
30,Chart,14,4,28.95
30,Chart,15,0,37.97
30,Chart,15,1,39.87
30,Chart,15,2,42.72
30,Chart,15,3,36.39
30,Chart,15,4,40.51
30,Chart,16,0,85.16
30,Chart,16,1,86.72
30,Chart,16,2,80.47
30,Chart,16,3,85.16
30,Chart,16,4,92.19
30,Chart,17,0,88.41
30,Chart,17,1,81.16
30,Chart,17,2,82.61
30,Chart,17,3,91.3
30,Chart,17,4,87.68
30,Chart,18,0,87.3
30,Chart,18,1,92.86
30,Chart,18,2,96.03
30,Chart,18,3,94.44
30,Chart,18,4,92.06
30,Chart,19,0,46.32
30,Chart,19,1,47.49
30,Chart,19,2,37.12
30,Chart,19,3,47.49
30,Chart,19,4,45.48
30,Chart,20,0,87.5
30,Chart,20,1,87.5
30,Chart,20,2,87.5
30,Chart,20,3,87.5
30,Chart,20,4,87.5
30,Chart,21,0,32.93
30,Chart,21,1,71.95
30,Chart,21,2,20.73
30,Chart,21,3,13.41
30,Chart,21,4,53.66
30,Chart,22,0,93.24
30,Chart,22,1,94.59
30,Chart,22,2,93.24
30,Chart,22,3,93.24
30,Chart,22,4,91.89
30,Chart,23,0,33.93
30,Chart,23,1,37.5
30,Chart,23,2,35.71
30,Chart,23,3,37.5
30,Chart,23,4,37.5
30,Chart,24,0,100.0
30,Chart,24,1,100.0
30,Chart,24,2,100.0
30,Chart,24,3,100.0
30,Chart,24,4,100.0
30,Chart,25,0,14.44
30,Chart,25,1,15.56
30,Chart,25,2,10.0
30,Chart,25,3,14.44
30,Chart,25,4,15.56
30,Chart,26,0,61.76
30,Chart,26,1,44.12
30,Chart,26,2,39.71
30,Chart,26,3,72.06
30,Chart,26,4,50.0
30,Cli,1,0,93.75
30,Cli,1,1,93.75
30,Cli,1,2,100.0
30,Cli,1,3,100.0
30,Cli,1,4,100.0
30,Cli,2,0,88.1
30,Cli,2,1,66.67
30,Cli,2,2,90.48
30,Cli,2,3,90.48
30,Cli,2,4,83.33
30,Cli,3,0,95.83
30,Cli,3,1,83.33
30,Cli,3,2,91.67
30,Cli,3,3,70.83
30,Cli,3,4,66.67
30,Cli,4,0,50.0
30,Cli,4,1,58.57
30,Cli,4,2,54.29
30,Cli,4,3,65.71
30,Cli,4,4,65.71
30,Cli,5,0,100.0
30,Cli,5,1,100.0
30,Cli,5,2,100.0
30,Cli,5,3,100.0
30,Cli,5,4,100.0
30,Cli,7,0,100.0
30,Cli,7,1,100.0
30,Cli,7,2,100.0
30,Cli,7,3,100.0
30,Cli,7,4,100.0
30,Cli,8,0,85.58
30,Cli,8,1,74.04
30,Cli,8,2,87.5
30,Cli,8,3,86.54
30,Cli,8,4,72.12
30,Cli,9,0,60.0
30,Cli,9,1,62.86
30,Cli,9,2,72.86
30,Cli,9,3,61.43
30,Cli,9,4,62.86
30,Cli,10,0,58.57
30,Cli,10,1,64.29
30,Cli,10,2,64.29
30,Cli,10,3,54.29
30,Cli,10,4,67.14
30,Cli,11,0,74.53
30,Cli,11,1,86.79
30,Cli,11,2,75.47
30,Cli,11,3,60.38
30,Cli,11,4,75.47
30,Cli,12,0,85.0
30,Cli,12,1,90.0
30,Cli,12,2,90.0
30,Cli,12,3,85.0
30,Cli,12,4,85.0
30,Cli,13,0,72.88
30,Cli,13,1,73.73
30,Cli,13,2,77.97
30,Cli,13,3,86.44
30,Cli,13,4,70.34
30,Cli,14,0,64.06
30,Cli,14,1,68.75
30,Cli,14,2,70.31
30,Cli,14,3,64.84
30,Cli,14,4,65.62
30,Cli,15,0,90.74
30,Cli,15,1,90.74
30,Cli,15,2,90.74
30,Cli,15,3,98.15
30,Cli,15,4,90.74
30,Cli,16,0,58.11
30,Cli,16,1,61.71
30,Cli,16,2,60.36
30,Cli,16,3,56.76
30,Cli,16,4,56.31
30,Cli,17,0,85.71
30,Cli,17,1,64.29
30,Cli,17,2,64.29
30,Cli,17,3,64.29
30,Cli,17,4,88.1
30,Cli,18,0,66.67
30,Cli,18,1,66.67
30,Cli,18,2,85.71
30,Cli,18,3,66.67
30,Cli,18,4,66.67
30,Cli,19,0,83.33
30,Cli,19,1,90.48
30,Cli,19,2,85.71
30,Cli,19,3,66.67
30,Cli,19,4,88.1
30,Cli,20,0,89.58
30,Cli,20,1,91.67
30,Cli,20,2,85.42
30,Cli,20,3,87.5
30,Cli,20,4,89.58
30,Cli,21,0,59.18
30,Cli,21,1,67.86
30,Cli,21,2,56.12
30,Cli,21,3,66.33
30,Cli,21,4,71.94
30,Cli,22,0,90.91
30,Cli,22,1,88.64
30,Cli,22,2,90.91
30,Cli,22,3,90.91
30,Cli,22,4,90.91
30,Cli,23,0,72.73
30,Cli,23,1,76.36
30,Cli,23,2,76.36
30,Cli,23,3,85.45
30,Cli,23,4,71.82
30,Cli,24,0,89.29
30,Cli,24,1,89.29
30,Cli,24,2,86.61
30,Cli,24,3,88.39
30,Cli,24,4,79.46
30,Cli,25,0,87.5
30,Cli,25,1,85.71
30,Cli,25,2,77.68
30,Cli,25,3,85.71
