generation_time,project,bug_id,test_id,coverage
30,Chart,1,0,9.09
30,Chart,1,1,14.88
30,Chart,1,2,9.5
30,Chart,1,3,0.41
30,Chart,1,4,10.74
30,Chart,2,0,36.86
30,Chart,2,1,34.67
30,Chart,2,2,29.56
30,Chart,2,3,37.77
30,Chart,2,4,39.6
30,Chart,3,0,33.51
30,Chart,3,1,42.78
30,Chart,3,2,36.08
30,Chart,3,3,26.8
30,Chart,3,4,45.88
30,Chart,4,0,15.01
30,Chart,4,1,6.73
30,Chart,4,2,20.91
30,Chart,4,3,18.01
30,Chart,4,4,12.94
30,Chart,5,0,68.75
30,Chart,5,1,63.75
30,Chart,5,2,68.75
30,Chart,5,3,80.0
30,Chart,5,4,82.5
30,Chart,6,0,37.5
30,Chart,6,1,12.5
30,Chart,6,2,37.5
30,Chart,6,3,31.25
30,Chart,6,4,12.5
30,Chart,7,0,53.7
30,Chart,7,1,35.19
30,Chart,7,2,57.41
30,Chart,7,3,64.81
30,Chart,7,4,53.7
30,Chart,8,0,52.94
30,Chart,8,1,58.82
30,Chart,8,2,52.94
30,Chart,8,3,67.65
30,Chart,8,4,60.29
30,Chart,9,0,30.71
30,Chart,9,1,2.14
30,Chart,9,2,25.71
30,Chart,9,3,30.0
30,Chart,9,4,30.71
30,Chart,10,0,100
30,Chart,10,1,100
30,Chart,10,2,100
30,Chart,10,3,100
30,Chart,10,4,100
30,Chart,11,0,34.48
30,Chart,11,1,34.48
30,Chart,11,2,30.17
30,Chart,11,3,34.48
30,Chart,11,4,34.48
30,Chart,12,0,7.14
30,Chart,12,1,11.9
30,Chart,12,2,11.9
30,Chart,12,3,10.71
30,Chart,12,4,8.33
30,Chart,13,0,44.17
30,Chart,13,1,45.83
30,Chart,13,2,45.83
30,Chart,13,3,42.5
30,Chart,13,4,35.0
30,Chart,14,0,18.84
30,Chart,14,1,18.91
30,Chart,14,2,18.07
30,Chart,14,3,20.57
30,Chart,14,4,20.08
30,Chart,15,0,8.86
30,Chart,15,1,6.65
30,Chart,15,2,7.91
30,Chart,15,3,4.75
30,Chart,15,4,2.85
30,Chart,16,0,48.44
30,Chart,16,1,50.78
30,Chart,16,2,43.75
30,Chart,16,3,49.22
30,Chart,16,4,64.84
30,Chart,17,0,23.19
30,Chart,17,1,23.19
30,Chart,17,2,34.78
30,Chart,17,3,37.68
30,Chart,17,4,24.64
30,Chart,18,0,44.44
30,Chart,18,1,42.86
30,Chart,18,2,64.29
30,Chart,18,3,48.41
30,Chart,18,4,52.38
30,Chart,19,0,25.42
30,Chart,19,1,28.26
30,Chart,19,2,27.76
30,Chart,19,3,23.75
30,Chart,19,4,21.24
30,Chart,20,0,25.0
30,Chart,20,1,25.0
30,Chart,20,2,25.0
30,Chart,20,3,25.0
30,Chart,20,4,62.5
30,Chart,21,0,9.76
30,Chart,21,1,9.76
30,Chart,21,2,10.98
30,Chart,21,3,12.2
30,Chart,21,4,10.98
30,Chart,22,0,67.57
30,Chart,22,1,44.59
30,Chart,22,2,59.46
30,Chart,22,3,48.65
30,Chart,22,4,54.05
30,Chart,23,0,1.79
30,Chart,23,1,3.57
30,Chart,23,2,12.5
30,Chart,23,3,10.71
30,Chart,23,4,7.14
30,Chart,24,0,90.0
30,Chart,24,1,90.0
30,Chart,24,2,90.0
30,Chart,24,3,90.0
30,Chart,24,4,90.0
30,Chart,25,1,0.0
30,Chart,25,2,0.0
30,Chart,25,4,3.33
30,Chart,26,0,8.09
30,Chart,26,1,4.41
30,Chart,26,2,13.24
30,Chart,26,3,3.68
30,Chart,26,4,9.56
30,Cli,1,0,37.5
30,Cli,1,1,31.25
30,Cli,1,2,50.0
30,Cli,1,3,50.0
30,Cli,1,4,31.25
30,Cli,2,0,40.48
30,Cli,2,1,19.05
30,Cli,2,2,28.57
30,Cli,2,3,30.95
30,Cli,2,4,40.48
30,Cli,3,0,66.67
30,Cli,3,1,54.17
30,Cli,3,2,54.17
30,Cli,3,3,62.5
30,Cli,3,4,70.83
30,Cli,4,0,15.71
30,Cli,4,1,25.71
30,Cli,4,2,25.71
30,Cli,4,3,24.29
30,Cli,4,4,25.71
30,Cli,5,0,50.0
30,Cli,5,1,50.0
30,Cli,5,2,50.0
30,Cli,5,3,50.0
30,Cli,5,4,50.0
30,Cli,7,0,37.04
30,Cli,7,1,37.04
30,Cli,7,2,48.15
30,Cli,7,3,51.85
30,Cli,7,4,44.44
30,Cli,8,0,37.5
30,Cli,8,1,35.58
30,Cli,8,2,37.5
30,Cli,8,3,36.54
30,Cli,8,4,29.81
30,Cli,9,0,25.71
30,Cli,9,1,18.57
30,Cli,9,2,25.71
30,Cli,9,3,17.14
30,Cli,9,4,27.14
30,Cli,10,0,32.86
30,Cli,10,1,25.71
30,Cli,10,2,25.71
30,Cli,10,3,24.29
30,Cli,10,4,28.57
30,Cli,11,0,57.55
30,Cli,11,1,58.49
30,Cli,11,2,41.51
30,Cli,11,3,43.4
30,Cli,11,4,45.28
30,Cli,12,0,30.0
30,Cli,12,1,30.0
30,Cli,12,2,30.0
30,Cli,12,3,30.0
30,Cli,12,4,30.0
30,Cli,13,0,37.29
30,Cli,13,1,45.76
30,Cli,13,2,33.05
30,Cli,13,3,34.75
30,Cli,13,4,44.92
30,Cli,14,0,21.88
30,Cli,14,1,32.81
30,Cli,14,2,0.78
30,Cli,14,3,16.41
30,Cli,14,4,10.94
30,Cli,15,0,38.89
30,Cli,15,1,1.85
30,Cli,15,2,44.44
30,Cli,15,3,9.26
30,Cli,15,4,9.26
30,Cli,16,0,4.95
30,Cli,16,1,18.02
30,Cli,16,2,19.82
30,Cli,16,3,4.5
30,Cli,16,4,37.84
30,Cli,17,0,35.71
30,Cli,17,1,45.24
30,Cli,17,2,26.19
30,Cli,17,3,7.14
30,Cli,17,4,38.1
30,Cli,18,0,40.48
30,Cli,18,1,38.1
30,Cli,18,2,19.05
30,Cli,18,3,42.86
30,Cli,18,4,42.86
30,Cli,19,0,35.71
30,Cli,19,1,38.1
30,Cli,19,2,38.1
30,Cli,19,3,40.48
30,Cli,19,4,35.71
30,Cli,20,0,39.58
30,Cli,20,1,31.25
30,Cli,20,2,14.58
30,Cli,20,3,33.33
30,Cli,20,4,2.08
30,Cli,21,0,28.06
30,Cli,21,1,16.84
30,Cli,21,2,29.59
30,Cli,21,3,28.06
30,Cli,21,4,38.27
30,Cli,22,0,4.55
30,Cli,22,1,34.09
30,Cli,22,2,34.09
30,Cli,22,3,43.18
30,Cli,22,4,36.36
30,Cli,23,0,50.91
30,Cli,23,1,41.82
30,Cli,23,2,40.91
30,Cli,23,3,59.09
30,Cli,23,4,44.55
30,Cli,24,0,64.29
30,Cli,24,1,71.43
30,Cli,24,2,70.54
30,Cli,24,3,66.96
30,Cli,24,4,73.21
30,Cli,25,0,66.07
30,Cli,25,1,64.29
30,Cli,25,2,59.82
30,Cli,25,3,71.43
30,Cli,25,4,67.86
30,Cli,26,0,75.0
30,Cli,26,1,75.0
30,Cli,26,2,75.0
30,Cli,26,3,75.0
30,Cli,26,4,75.0
30,Cli,27,0,25.0
30,Cli,27,1,41.67
30,Cli,27,2,33.33
30,Cli,27,4,25.0
30,Cli,28,0,23.53
30,Cli,28,1,30.88
30,Cli,28,2,25.0
30,Cli,28,3,23.53
30,Cli,28,4,27.94
30,Cli,29,0,42.86
30,Cli,29,1,42.86
30,Cli,29,2,42.86
30,Cli,29,3,42.86
30,Cli,29,4,42.86
30,Cli,30,0,10.68
30,Cli,30,1,17.09
30,Cli,30,2,6.84
30,Cli,30,3,15.81
30,Cli,30,4,17.09
30,Cli,31,0,52.36
30,Cli,31,1,58.96
30,Cli,31,2,48.11
30,Cli,31,3,43.87
30,Cli,31,4,32.55
30,Cli,32,0,23.68
30,Cli,32,1,34.21
30,Cli,32,2,31.58
30,Cli,32,3,36.84
30,Cli,32,4,33.33
30,Cli,33,0,50.0
30,Cli,33,1,59.32
30,Cli,33,2,22.03
30,Cli,33,3,59.32
30,Cli,33,4,36.44
30,Cli,34,0,29.35
30,Cli,34,1,40.22
30,Cli,34,2,41.3
30,Cli,34,3,51.09
30,Cli,34,4,48.91
30,Cli,35,0,36.36
30,Cli,35,1,31.82
30,Cli,35,2,50.0
30,Cli,35,3,31.82
30,Cli,35,4,27.27
30,Cli,36,0,72.22
30,Cli,36,1,47.22
30,Cli,36,2,38.89
30,Cli,36,3,66.67
30,Cli,36,4,58.33
30,Cli,37,0,13.92
30,Cli,37,1,14.56
30,Cli,37,2,13.92
30,Cli,37,3,13.92
30,Cli,37,4,15.82
30,Cli,38,0,12.2
30,Cli,38,1,15.24
30,Cli,38,2,14.02
30,Cli,38,3,11.59
30,Cli,38,4,10.37
30,Cli,39,0,60.0
30,Cli,39,1,25.0
30,Cli,39,2,55.0
30,Cli,39,3,50.0
30,Cli,39,4,50.0
30,Cli,40,0,60.0
30,Cli,40,1,70.0
30,Cli,40,2,65.0
30,Cli,40,3,70.0
30,Cli,40,4,70.0
30,Closure,1,2,0.0
30,Closure,2,0,0.0
30,Closure,2,1,0.0
30,Closure,2,2,0.0
30,Closure,2,3,0.0
30,Closure,3,1,0.0
30,Closure,3,2,0.0
30,Closure,3,4,0.0
30,Closure,4,1,0.0
30,Closure,4,2,0.0
30,Closure,4,3,2.33
30,Closure,5,0,0.0
30,Closure,6,0,0.0
30,Closure,6,1,0.0
30,Closure,6,3,0.0
30,Closure,6,4,0.0
30,Closure,7,2,0.0
30,Closure,8,0,1.85
30,Closure,8,4,0.0
30,Closure,9,0,9.52
30,Closure,9,1,19.05
30,Closure,9,2,11.9
30,Closure,9,3,4.76
30,Closure,9,4,2.38
30,Closure,10,0,2.72
30,Closure,10,1,0.58
30,Closure,10,2,10.12
30,Closure,10,3,5.54
30,Closure,10,4,8.17
30,Closure,11,0,0.0
30,Closure,11,2,0.0
30,Closure,11,4,0.0
30,Closure,12,0,0.0
30,Closure,12,3,0.0
30,Closure,12,4,0.0
30,Closure,14,0,1.09
30,Closure,14,1,1.45
30,Closure,14,2,2.17
30,Closure,14,3,0.36
30,Closure,14,4,0.0
30,Closure,15,1,0.0
30,Closure,15,3,0.0
30,Closure,16,0,0.0
30,Closure,17,1,0.14
30,Closure,17,3,0.0
30,Closure,17,4,0.0
30,Closure,18,0,12.32
30,Closure,18,1,7.73
30,Closure,18,2,18.12
30,Closure,18,3,7.0
30,Closure,18,4,0.0
30,Closure,19,0,11.58
30,Closure,19,4,3.16
30,Closure,20,0,0.75
30,Closure,20,1,0.0
30,Closure,21,0,0.0
30,Closure,22,0,0.0
30,Closure,22,1,0.0
30,Closure,22,2,7.89
30,Closure,23,2,0.0
30,Closure,24,1,12.04
30,Closure,24,3,12.04
30,Closure,25,1,0.25
30,Closure,25,3,0.25
30,Closure,25,4,0.5
30,Closure,26,0,2.38
30,Closure,26,1,2.38
30,Closure,26,2,0.0
30,Closure,26,3,9.52
30,Closure,26,4,4.76
30,Closure,27,0,35.0
30,Closure,27,1,36.67
30,Closure,27,2,33.33
30,Closure,27,3,55.0
30,Closure,27,4,40.0
30,Closure,28,1,50.0
30,Closure,28,2,0.0
30,Closure,28,3,50.0
30,Closure,28,4,50.0
30,Closure,29,4,0.0
30,Closure,30,0,0.45
30,Closure,30,1,0.0
30,Closure,30,4,0.0
30,Closure,31,0,1.51
30,Closure,31,1,3.77
30,Closure,31,2,0.0
30,Closure,31,3,2.51
30,Closure,31,4,6.78
30,Closure,32,0,0.48
30,Closure,32,1,0.16
30,Closure,32,2,0.48
30,Closure,32,4,3.86
30,Closure,33,0,9.34
30,Closure,33,1,24.18
30,Closure,33,2,23.08
30,Closure,33,3,1.1
30,Closure,33,4,30.77
30,Closure,34,0,10.92
30,Closure,34,1,8.32
30,Closure,34,2,8.67
30,Closure,34,3,9.19
30,Closure,34,4,8.15
30,Closure,35,0,0.0
30,Closure,35,1,0.0
30,Closure,35,2,0.24
30,Closure,35,3,0.0
30,Closure,36,0,0.0
30,Closure,36,3,0.0
30,Closure,36,4,0.43
30,Closure,37,0,1.81
30,Closure,37,1,1.55
30,Closure,37,2,2.84
30,Closure,37,3,1.03
30,Closure,37,4,2.33
30,Closure,38,1,6.06
30,Closure,38,2,4.55
30,Closure,38,3,1.52
30,Closure,38,4,4.55
30,Closure,39,0,22.67
30,Closure,39,1,24.42
30,Closure,39,2,24.42
30,Closure,39,3,31.4
30,Closure,39,4,16.28
30,Closure,40,0,5.53
30,Closure,40,1,5.76
30,Closure,40,4,0.23
30,Closure,41,0,0.4
30,Closure,41,1,0.4
30,Closure,41,2,0.0
30,Closure,41,3,0.0
30,Closure,42,0,0.71
30,Closure,42,2,0.71
30,Closure,42,3,1.42
30,Closure,42,4,0.36
30,Closure,43,0,0.0
30,Closure,43,1,0.0
30,Closure,43,2,0.0
30,Closure,43,3,0.0
30,Closure,43,4,0.0
30,Closure,44,0,23.44
30,Closure,44,1,6.25
30,Closure,44,2,14.06
30,Closure,45,1,0.0
30,Closure,45,2,0.0
30,Closure,46,2,0.0
30,Closure,46,4,0.0
30,Closure,47,2,0.0
30,Closure,47,3,0.0
30,Closure,47,4,0.0
30,Closure,48,0,0.0
30,Closure,48,2,0.0
30,Closure,48,4,0.0
